Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,Tessa Hollandar,Unattached,33,01/29/2020,2020 Baltimore Open,
Clean & Jerk,Tessa Hollandar,Unattached,43,01/29/2020,2020 Baltimore Open,
Total ,Tessa Hollandar,Unattached,76,01/29/2020,2020 Baltimore Open,
49 kg,,,,,,
Snatch,Jaelyn Noon,Power and Grace Performance,61,06/28/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Jaelyn Noon,Power and Grace Performance,75,06/28/2021,Nike 2021 National Youth Championships,
Total ,Jaelyn Noon,Power and Grace Performance,136,06/28/2021,Nike 2021 National Youth Championships,
55 kg,,,,,,
Snatch,Ella Grizzle,Unaffiliated,82,02/07/2020,2020 National Junior Championships,
Clean & Jerk,Ella Grizzle,Unaffiliated,90,02/07/2020,2020 National Junior Championships,
Total ,Ella Grizzle,Unaffiliated,173,02/07/2020,2020 National Junior Championships,
59 kg,,,,,,
Snatch,Catherine Reynolds,Hydraulic Barbell,67,03/31/2020,AO Series Online Qualifier,
Clean & Jerk,Catherine Reynolds,Hydraulic Barbell,90,03/31/2020,AO Series Online Qualifier,
Total ,Catherine Reynolds,Hydraulic Barbell,157,03/31/2020,AO Series Online Qualifier,
64 kg,,,,,,
Snatch,AJ Davenport,Union Weightlifting,81,07/17/2021,Union Weightlifting invitationa,
Clean & Jerk,AJ Davenport,Union Weightlifting,100,07/17/2021,Union Weightlifting invitationa,
Total ,AJ Davenport,Union Weightlifting,181,07/17/2021,Union Weightlifting invitationa,
71 kg,,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,91,12/04/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,109,12/04/2021,Nike 2021 North American Open Finals,
Total ,Natalie Andrews,CHFP Weightlifting Club,200,12/04/2021,Nike 2021 North American Open Finals,
76 kg,,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,89,06/30/2022,Nike 2022 National Junior Championships,
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,111,06/30/2022,Nike 2022 National Junior Championships,
Total ,Natalie Andrews,CHFP Weightlifting Club,200,06/30/2022,Nike 2022 National Junior Championships,
81 kg,,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,97,06/29/2023,2023 Nike National Junior Championships,
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,119,06/29/2023,2023 Nike National Junior Championships,
Total ,Natalie Andrews,CHFP Weightlifting Club,216,06/29/2023,2023 Nike National Junior Championships,
87 kg,,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,98,10/22/2022,2022 Junior Pan American Championships,
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,128,10/22/2022,2022 Junior Pan American Championships,
Total ,Avery Owens,CHFP Weightlifting Club,226,10/22/2022,2022 Junior Pan American Championships,
87+ kg,,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,95,09/19/2021,Nike 2021 North American Open Series 2,
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,122,09/19/2021,Nike 2021 North American Open Series 2,
Total ,Avery Owens,CHFP Weightlifting Club,217,09/19/2021,Nike 2021 North American Open Series 2,
