Lift,Athlete,Team,Weight,Date,Meet ,Site
 55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
61 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
67 kg,,,,,,
Snatch,Michael Foley,Unattached,37,01/25/2020,Rosedale Open,
Clean & Jerk,Michael Foley,Unattached,51,01/25/2020,Rosedale Open,
Total ,Michael Foley,Unattached,88,01/25/2020,Rosedale Open,
73 kg,,,,,,
Snatch,Michael Foley,Unattached,37,06/11/2022,BASA BIG Saturday Open 2022,
Clean & Jerk,Michael Foley,Unattached,50,06/11/2022,BASA BIG Saturday Open 2022,
Total ,Michael Foley,Unattached,87,06/11/2022,BASA BIG Saturday Open 2022,
81 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
89 kg,,,,,,
Snatch,Stephen Knott,East Coast Gold,56,01/04/2020,2020 HWC Winter Open,
Clean & Jerk,Stephen Knott,East Coast Gold,75,01/04/2020,2020 HWC Winter Open,
Total ,Stephen Knott,East Coast Gold,131,01/04/2020,2020 HWC Winter Open,
96 kg,,,,,,
Snatch,Christopher Polakowski,Delaware and Vermont Weightlifting,55,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Clean & Jerk,Christopher Polakowski,Delaware and Vermont Weightlifting,71,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Total ,Christopher Polakowski,Delaware and Vermont Weightlifting,126,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
102 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
109 kg,,,,,,
Snatch,Gerard Finn,East Coast Gold,64,12/02/2022,IWF World Masters Championships,
Clean & Jerk,Gerard Finn,East Coast Gold,86,12/02/2022,IWF World Masters Championships,
Total ,Gerard Finn,East Coast Gold,150,12/02/2022,IWF World Masters Championships,
109+ kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
