Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
49 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
59 kg,,,,,,
Snatch,Sara Contente,Tough Temple Barbell Club,24,08/04/2021,2021 Pan American Masters Weightlifting Championships,
Clean & Jerk,Sara Contente,Tough Temple Barbell Club,32,08/04/2021,2021 Pan American Masters Weightlifting Championships,
Total ,Sara Contente,Tough Temple Barbell Club,56,08/04/2021,2021 Pan American Masters Weightlifting Championships,
64 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
71 kg,,,,,,
Snatch,Karen King,Southside Barbell Club,32,01/18/2020,RVA Open 2020,
Clean & Jerk,Karen King,Southside Barbell Club,52,01/18/2020,RVA Open 2020,
Total ,Karen King,Southside Barbell Club,84,01/18/2020,RVA Open 2020,
76 kg,,,,,,
Snatch,Karen King,Southside Barbell Club,30,03/15/2023,2023 National Masters Championships,
Clean & Jerk,Karen King,Southside Barbell Club,49,03/15/2023,2023 National Masters Championships,
Total ,Karen King,Southside Barbell Club,79,03/15/2023,2023 National Masters Championships,
81 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
87 kg,,,,,,
Snatch,Doncella Young,CHFP Weightlifting Club,37,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Clean & Jerk,Doncella Young,CHFP Weightlifting Club,43,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Total ,Doncella Young,CHFP Weightlifting Club,80,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
87+ kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
