Lift,Athlete,Team,Weight,Date,Meet ,Site
 55 kg,,,,,,
Snatch,Keshav Nair,BAM Weightlifting Club,83,10/30/2022, Nike 2021 North American Open Finals,
Clean & Jerk,Keshav Nair,BAM Weightlifting Club,110,10/30/2022, Nike 2021 North American Open Finals,
Total ,Keshav Nair,BAM Weightlifting Club,193,10/30/2022, Nike 2021 North American Open Finals,
61 kg,,,,,,
Snatch,Quinn Kashishian,Krypton Barbell Club,106,02/07/2020,Nike 2020 National University Championships,
Clean & Jerk,Quinn Kashishian,Krypton Barbell Club,131,02/07/2020,Nike 2020 National University Championships,
Total ,Quinn Kashishian,Krypton Barbell Club,237,02/07/2020,Nike 2020 National University Championships,
67 kg,,,,,,
Snatch,Concepcion Cruz-Rodriguez,Bellator Barbell,115,10/24/2020,2020 ODC/VA LWC Champ.,"Richmond, VA"
Clean & Jerk,Concepcion Cruz-Rodriguez,Bellator Barbell,135,10/24/2020,2020 ODC/VA LWC Champ.,"Richmond, VA"
Total ,Concepcion Cruz-Rodriguez,Bellator Barbell,250,10/24/2020,2020 ODC/VA LWC Champ.,"Richmond, VA"
73 kg,,,,,,
Snatch,Michael Owens Jr,BASA Weightlifting,123,03/11/2023,2023 March Online Qualifier Presented by WODProof,
Clean & Jerk,Willie Day,Philadephia Barbell,149,03/19/2023,2023 National Masters Championships,
Total ,Willie Day,Philadephia Barbell,268,03/19/2023,2023 National Masters Championships,
81 kg,,,,,,
Snatch,Troy Fries,Renaissance Periodization,135,12/08/2023,2023 Nike North American Open Finals,
Clean & Jerk,Nicholas Dondzilla,A5 Weightlifting,180,12/06/2020,2020 Online National Championships,
Total ,Nicholas Dondzilla,A5 Weightlifting,314,12/06/2020,2020 Online National Championships,
89 kg,,,,,,
Snatch,Caleb Goodman,RVA Weightlifting,146,07/01/2023,National Championships 2023,"Colorado Springs, CO"
Clean & Jerk,Caleb Goodman,RVA Weightlifting,190,07/03/2021,2021 USAW National Championships,"Detroit, MI"
Total ,Caleb Goodman,RVA Weightlifting,333,07/01/2023,National Championships 2023,"Colorado Springs, CO"
96 kg,,,,,,
Snatch,Phil Sabatini,East Coast Gold WL,157,07/03/2021,2021 USAW National Championships,"Detroit, MI"
Clean & Jerk,Phil Sabatini,East Coast Gold WL,186,12/06/2020,2020 Online National Championships,
Total ,Phil Sabatini,East Coast Gold WL,342,07/03/2021,2021 USAW National Championships,"Detroit, MI"
102 kg,,,,,,
Snatch,Caleb Weakland,Stoneage Weightlifting,150,12/10/2023,North American Open Finals 2023,"Wilmington, NC"
Clean & Jerk,Caleb Weakland,Stoneage Weightlifting,182,07/02/2023,National Championships 2023,"Colorado Springs, CO"
Total ,Caleb Weakland,Stoneage Weightlifting,330,12/10/2023,North American Open Finals 2023,"Wilmington, NC"
109 kg,,,,,,
Snatch,Russell Bowman,Garage Strength,150,12/04/2022,Nike 2022 North American Open Finals,
Clean & Jerk,Russell Bowman,Garage Strength,193,12/04/2022,Nike 2022 North American Open Finals,
Total ,Russell Bowman,Garage Strength,343,12/04/2022,Nike 2022 North American Open Finals,
109+ kg,,,,,,
Snatch,Jacob Herbert,Bellator Barbell,163,12/10/2023,North American Open Finals 2023,"Wilmington, NC"
Clean & Jerk,Jacob Herbert,Bellator Barbell,191,07/02/2023,National Championships 2023,"Colorado Springs, CO"
Total ,Jacob Herbert,Bellator Barbell,354,12/10/2023,North American Open Finals 2023,"Wilmington, NC"
