Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,Melissa Sue Jutras Kamphake,East Coast Gold WL,58,10/09/2020,2020 Masters National Championships,
Clean & Jerk,Melissa Sue Jutras Kamphake,East Coast Gold WL,72,10/09/2020,2020 Masters National Championships,
Total ,Melissa Sue Jutras Kamphake,East Coast Gold WL,130,10/09/2020,2020 Masters National Championships,
49 kg,,,,,,
Snatch,Olivia Duran,East Coast Gold WL,67,07/02/2021,2021 USAW National Championships,"Detroit, MI"
Clean & Jerk,Olivia Duran,East Coast Gold WL,90,07/02/2021,2021 USAW National Championships,"Detroit, MI"
Total ,Olivia Duran,East Coast Gold WL,157,07/02/2021,2021 USAW Naitonal Championships,"Detroit, MI"
55 kg,,,,,,
Snatch,Maria Hayden,Renaissance Periodization,81,12/05/2020,2020 Online American Open Finals,
Clean & Jerk,Maria Hayden,Renaissance Periodization,102,12/05/2020,2020 Online American Open Finals,
Total ,Maria Hayden,Renaissance Periodization,183,12/05/2020,2020 Online American Open Finals,
59 kg,,,,,,
Snatch,Laura Caggiano,Unattached,80,12/03/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Laura Caggiano,Unattached,100,12/03/2021,Nike 2021 North American Open Finals,
Total ,Laura Caggiano,Unattached,180,12/03/2021,Nike 2021 North American Open Finals,
64 kg,,,,,,
Snatch,Jaclyn Alberts,RVA Weightlifting,88,07/03/2021,2021 USAW National Championships,"Detroit, MI"
Clean & Jerk,Jaclyn Alberts,RVA Weightlifting,117,07/03/2021,2021 USAW National Championships,"Detroit, MI"
Total ,Jaclyn Alberts,RVA Weightlifting,205,07/03/2021,2021 USAW National Championships,"Detroit, MI"
71 kg,,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,91,12/04/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Jaclyn Alberts,RVA Weightlifting,115,04/25/2021,RVAWL In-House Meet,"Richmond, VA"
Total ,Jaclyn Alberts,RVA Weightlifting,203,04/25/2021,RVAWL In-House Meet,"Richmond, VA"
76 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,100,12/05/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Kateri Peters,BASA Weightlifting,128,12/05/2021,Nike 2021 North American Open Finals,
Total ,Kateri Peters,BASA Weightlifting,228,12/05/2021,Nike 2021 North American Open Finals,
81 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,98,07/02/2023,2023 Nike USA Weightlifting National Championships,
Clean & Jerk,Kateri Peters,BASA Weightlifting,124,07/02/2023,2023 Nike USA Weightlifting National Championships,
Total ,Kateri Peters,BASA Weightlifting,222,07/02/2023,2023 Nike USA Weightlifting National Championships,
87 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,102,07/03/2022,Nike 2022 USA Weightlifting National Championships,
Clean & Jerk,Kateri Peters,BASA Weightlifting,128,07/03/2022,Nike 2022 USA Weightlifting National Championships,
Total ,Kateri Peters,BASA Weightlifting,230,07/03/2022,Nike 2022 USA Weightlifting National Championships,
87+ kg,,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,95,09/19/2021,Nike 2021 North American Open Series 2,
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,122,09/19/2021,Nike 2021 North American Open Series 2,
Total ,Avery Owens,CHFP Weightlifting Club,217,09/19/2021,Nike 2021 North American Open Series 2,
