Lift,Athlete,Team,Weight,Date,Meet ,Site
13U 32 kg,,,,,,
Snatch,Adam Sowayan,Tough Temple Barbell Club,15,04/02/2023,CHFP Youth Developmental Meet,
Clean & Jerk,Adam Sowayan,Tough Temple Barbell Club,19,04/02/2023,CHFP Youth Developmental Meet,
Total ,Adam Sowayan,Tough Temple Barbell Club,34,04/02/2023,CHFP Youth Developmental Meet,
13U 36 kg,,,,,,
Snatch,Gavin Searcey,Southside Barbell Club,24,01/19/2020,RVA Open 2020,
Clean & Jerk,Gavin Searcey,Southside Barbell Club,32,01/19/2020,RVA Open 2020,
Total ,Gavin Searcey,Southside Barbell Club,56,01/19/2020,RVA Open 2020,
13U 39 kg,,,,,,
Snatch,Ramon Rodiguez,OSS Weightlifting Club,30,06/25/2022,Nike 2022 National Youth Championships,
Clean & Jerk,Ramon Rodiguez,OSS Weightlifting Club,37,06/25/2022,Nike 2022 National Youth Championships,
Total ,Ramon Rodiguez,OSS Weightlifting Club,67,06/25/2022,Nike 2022 National Youth Championships,
13U 44 kg,,,,,,
Snatch,Calvin Greenfield,East Coast Gold WL,36,12/03/2020,2020 Online National Youth Championships,
Clean & Jerk,Calvin Greenfield,East Coast Gold WL,46,12/03/2020,2020 Online National Youth Championships,
Total ,Calvin Greenfield,East Coast Gold WL,82,12/03/2020,2020 Online National Youth Championships,
 13U 49 kg,,,,,,
Snatch,Graham Dundlow,East Coast Gold,23,10/09/2021,2021 VA State Championships,"Virginia Beach, VA"
Clean & Jerk,Graham Dundlow,East Coast Gold,32,10/09/2021,2021 VA State Championships,"Virginia Beach, VA"
Total ,Graham Dundlow,East Coast Gold,55,10/09/2021,2021 VA State Championships,"Virginia Beach, VA"
13U 55 kg,,,,,,
Snatch,Isaac Hunter,Team Divergent,48,12/01/2022,Nike 2022 North American Open Finals,
Clean & Jerk,Isaac Hunter,Team Divergent,58,12/01/2022,Nike 2022 North American Open Finals,
Total ,Isaac Hunter,Team Divergent,106,12/01/2022,Nike 2022 North American Open Finals,
13U 61 kg,,,,,,
