Lift,Athlete,Team,Weight,Date,Meet ,Site
13U 30 kg,,,,,,
Snatch,Katelyn Robinson,East Coast Gold,28,06/25/2022,2022 National Youth Championships,
Clean & Jerk,Katelyn Robinson,East Coast Gold,37,03/26/2022,East Coast Gold Spring Fling,
Total ,Katelyn Robinson,East Coast Gold,64,03/26/2022,East Coast Gold Spring Fling,
13U 33 kg,,,,,,
Snatch,Zoey Phillips,Tough Temple Barbell Club,19,01/30/2021,Rosedale Open 2021,
Clean & Jerk,Zoey Phillips,Tough Temple Barbell Club,24,01/30/2021,Rosedale Open 2021,
Total ,Zoey Phillips,Tough Temple Barbell Club,43,01/30/2021,Rosedale Open 2021,
13U 36 kg,,,,,,
Snatch,Zoey Phillips,Tough Temple Barbell Club,20,06/26/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Zoey Phillips,Tough Temple Barbell Club,27,06/26/2021,Nike 2021 National Youth Championships,
Total ,Zoey Phillips,Tough Temple Barbell Club,47,06/26/2021,Nike 2021 National Youth Championships,
13U 40 kg,,,,,,
Snatch,Tessa Hollander,Unattached,33,01/19/2020,2020 Baltimore Open,
Clean & Jerk,Tessa Hollander,Unattached,43,01/19/2020,2020 Baltimore Open,
Total ,Tessa Hollander,Unattached,76,01/19/2020,2020 Baltimore Open,
 13U 45 kg,,,,,,
Snatch,mariana deoliveira,OSS Weightlifting Club,31,11/28/2021,2021 Turkey Meet Charity Event,
Clean & Jerk,mariana deoliveira,OSS Weightlifting Club,43,01/15/2022,2022 Baltimore Open,
Total ,mariana deoliveira,OSS Weightlifting Club,73,11/28/2021,2021 Turkey Meet Charity Event,
13U 49 kg,,,,,,
Snatch,Lucy Korn,Tough Temple Barbell Club,40,10/23/2022,Liftoberfest 2022,
Clean & Jerk,Lucy Korn,Tough Temple Barbell Club,48,10/23/2022,Liftoberfest 2022,
Total ,Lucy Korn,Tough Temple Barbell Club,88,10/23/2022,Liftoberfest 2022,
13U 55 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,38,01/26/2020,Rosedale Open,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,44,01/26/2020,Rosedale Open,
Total ,Amelia Phillips,Tough Temple Barbell Club,82,01/26/2020,Rosedale Open,
13U 59 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,44,12/03/2020,2020 Online National Youth Championships,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,55,12/03/2020,2020 Online National Youth Championships,
Total ,Amelia Phillips,Tough Temple Barbell Club,99,12/03/2020,2020 Online National Youth Championships,
13U 64 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,54,06/26/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,64,06/26/2021,Nike 2021 National Youth Championships,
Total ,Amelia Phillips,Tough Temple Barbell Club,118,06/26/2021,Nike 2021 National Youth Championships,
13U 64+ kg,,,,,,
Snatch,Milan Mack,White Rose Barbell Club,57,12/03/2020,2020 Online National Youth Championships,
Clean & Jerk,Milan Mack,White Rose Barbell Club,75,12/04/2020,2021 Online National Youth Championships,
Total ,Milan Mack,White Rose Barbell Club,132,12/05/2020,2022 Online National Youth Championships,
14-15 36 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
14-15 40 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
14-15 45 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
14-15 49 kg,,,,,,
Snatch,Kendall Williams,BASA Weightlifting,40,12/01/2022,Nike 2022 North American Open Finals,
Clean & Jerk,Kendall Williams,BASA Weightlifting,52,12/01/2022,Nike 2022 North American Open Finals,
Total ,Kendall Williams,BASA Weightlifting,92,12/01/2022,Nike 2022 North American Open Finals,
14-15 55 kg,,,,,,
Snatch,Lucy Korn,Westminster Barbell,46,05/27/2023,BASA BIG Saturday Open 2023,
Clean & Jerk,Lucy Korn,Westminster Barbell,57,05/27/2023,BASA BIG Saturday Open 2024,
Total ,Lucy Korn,Westminster Barbell,103,05/27/2023,BASA BIG Saturday Open 2025,
14-15 59 kg,,,,,,
Snatch,Grace Edwards,Bangarang Barbell,52,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
Clean & Jerk,Grace Edwards,Bangarang Barbell,63,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
Total ,Grace Edwards,Bangarang Barbell,115,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
14-15 64 kg,,,,,,
Snatch,Wynter Montgomery,Unattached,54,06/26/2022,Nike 2022 National Youth Championships,
Clean & Jerk,Grace Edwards,Bangarang Barbell,66,01/19/2020,2020 Baltimore Open,
Total ,Wynter Montgomery,Unattached,119,06/26/2022,Nike 2022 National Youth Championships,
14-15 71 kg,,,,,,
Snatch,Isabella Rivera,Philadelphia Barbell,77,12/04/2020,2020 Online National Youth Championships,
Clean & Jerk,Isabella Rivera,Philadelphia Barbell,100,12/04/2020,2020 Online National Youth Championships,
Total ,Isabella Rivera,Philadelphia Barbell,177,12/04/2020,2020 Online National Youth Championships,
14-15 76 kg,,,,,,
Snatch,Alaina Strates,Bearproof Weightlifting,49,12/04/2020,2020 Online National Youth Championships,
Clean & Jerk,Alaina Strates,Bearproof Weightlifting,60,12/04/2020,2020 Online National Youth Championships,
Total ,Alaina Strates,Bearproof Weightlifting,109,12/04/2020,2020 Online National Youth Championships,
