45 kg,,,,,
Snatch,Tessa Hollandar,Unattached,33,1/29/2020,2020 Baltimore Open
Clean & Jerk,Tessa Hollandar,Unattached,43,1/29/2020,2020 Baltimore Open
Total,Tessa Hollandar,Unattached,76,1/29/2020,2020 Baltimore Open
49 kg,,,,,
Snatch,Jaelyn Noon,Power and Grace Performance,61,6/28/2021,Nike 2021 National Youth Championships
Clean & Jerk,Jaelyn Noon,Power and Grace Performance,75,6/28/2021,Nike 2021 National Youth Championships
Total,Jaelyn Noon,Power and Grace Performance,136,6/28/2021,Nike 2021 National Youth Championships
55 kg,,,,,
Snatch,Ella Grizzle,Unaffiliated,82,2/7/2020,2020 National Junior Championships
Clean & Jerk,Ella Grizzle,Unaffiliated,90,2/7/2020,2020 National Junior Championships
Total,Ella Grizzle,Unaffiliated,173,2/7/2020,2020 National Junior Championships
59 kg,,,,,
Snatch,Catherine Reynolds,Hydraulic Barbell,67,3/31/2020,AO Series Online Qualifier
Clean & Jerk,Catherine Reynolds,Hydraulic Barbell,90,3/31/2020,AO Series Online Qualifier
Total,Catherine Reynolds,Hydraulic Barbell,157,3/31/2020,AO Series Online Qualifier
64 kg,,,,,
Snatch,AJ Davenport,Union Weightlifting,81,7/17/2021,Union Weightlifting invitationa
Clean & Jerk,AJ Davenport,Union Weightlifting,100,7/17/2021,Union Weightlifting invitationa
Total,AJ Davenport,Union Weightlifting,181,7/17/2021,Union Weightlifting invitationa
71 kg,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,91,12/4/2021,Nike 2021 North American Open Finals
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,109,12/4/2021,Nike 2021 North American Open Finals
Total,Natalie Andrews,CHFP Weightlifting Club,200,12/4/2021,Nike 2021 North American Open Finals
76 kg,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,89,6/30/2022,Nike 2022 National Junior Championships
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,111,6/30/2022,Nike 2022 National Junior Championships
Total,Natalie Andrews,CHFP Weightlifting Club,200,6/30/2022,Nike 2022 National Junior Championships
81 kg,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,97,6/29/2023,2023 Nike National Junior Championships
Clean & Jerk,Natalie Andrews,CHFP Weightlifting Club,119,6/29/2023,2023 Nike National Junior Championships
Total,Natalie Andrews,CHFP Weightlifting Club,216,6/29/2023,2023 Nike National Junior Championships
87 kg,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,98,10/22/2022,2022 Junior Pan American Championships
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,128,10/22/2022,2022 Junior Pan American Championships
Total,Avery Owens,CHFP Weightlifting Club,226,10/22/2022,2022 Junior Pan American Championships
87+ kg,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,95,9/19/2021,Nike 2021 North American Open Series 2
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,122,9/19/2021,Nike 2021 North American Open Series 2
Total,Avery Owens,CHFP Weightlifting Club,217,9/19/2021,Nike 2021 North American Open Series 2
