55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
61 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
67 kg,,,,,,
Snatch,Kiho Kim,DC Weightlifting Club,67,1/30/2021,Rosedale Open 2021,
Clean & Jerk,Kiho Kim,DC Weightlifting Club,76,1/30/2021,Rosedale Open 2021,
Total,Kiho Kim,DC Weightlifting Club,143,1/30/2021,Rosedale Open 2021,
73 kg,,,,,,
Snatch,Mark Simon,Tough Temple Barbell Club,69,1/18/2020,2020 Baltimore Open,
Clean & Jerk,Mark Simon,Tough Temple Barbell Club,88,1/18/2020,2020 Baltimore Open,
Total,Mark Simon,Tough Temple Barbell Club,157,1/18/2020,2020 Baltimore Open,
81 kg,,,,,,
Snatch,Mario Dispensa,uplift weightlifting,68,3/18/2021,2021 National Masters,
Clean & Jerk,Mario Dispensa,uplift weightlifting,85,3/18/2021,2021 National Masters,
Total,Mario Dispensa,uplift weightlifting,153,3/18/2021,2021 National Masters,
89 kg,,,,,,
Snatch,Robert O'Day,Rappahannock Barbell,90,12/3/2022,RVA Open 2023,"Richmond, VA"
Clean & Jerk,Robert O'Day,Rappahannock Barbell,115,12/3/2022,RVA Open 2023,"Richmond, VA"
Total,Robert O'Day,Rappahannock Barbell,205,12/3/2022,RVA Open 2023,"Richmond, VA"
96 kg,,,,,,
Snatch,Robert O'Day,Rappahannock Barbell,85,9/30/2020,September online qualifier,
Clean & Jerk,Robert O'Day,Rappahannock Barbell,108,9/30/2020,September online qualifier,
Total,Robert O'Day,Rappahannock Barbell,193,9/30/2020,September online qualifier,
102 kg,,,,,,
Snatch,Paul LaDuke,East Coast Gold WL,84,12/4/2022,IWF World Masters Championships,
Clean & Jerk,Paul LaDuke,East Coast Gold WL,110,12/4/2022,IWF World Masters Championships,
Total,Paul LaDuke,East Coast Gold WL,194,12/4/2022,IWF World Masters Championships,
109 kg,,,,,,
Snatch,Tim Pierson,Unattached,70,1/18/2020,2020 Baltimore Open,
Clean & Jerk,Tim Pierson,Unattached,93,1/18/2020,2020 Baltimore Open,
Total,Tim Pierson,Unattached,163,1/18/2020,2020 Baltimore Open,
109+ kg,,,,,,
Snatch,Rick Buchinell,Trident Weightlifting Club,125,3/18/2021,2021 National Masters,
Clean & Jerk,Rick Buchinell,Trident Weightlifting Club,156,3/18/2021,2021 National Masters,
Total,Rick Buchinell,Trident Weightlifting Club,281,3/18/2021,2021 National Masters,
