55 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
61 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
67 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
73 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
81 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
89 kg,,,,,
Snatch,Steven Kraft,Tough Temple Barbell Club,30,5/2/2021,Capital City Open (Men)
Clean & Jerk,Steven Kraft,Tough Temple Barbell Club,35,5/2/2021,Capital City Open (Men)
Total,Steven Kraft,Tough Temple Barbell Club,65,5/2/2021,Capital City Open (Men)
96 kg,,,,,
Snatch,Steven Kraft,Tough Temple Barbell Club,29,5/1/2022,2022 Capital City Open
Clean & Jerk,Steven Kraft,Tough Temple Barbell Club,34,5/1/2022,2022 Capital City Open
Total,Steven Kraft,Tough Temple Barbell Club,63,5/1/2022,2022 Capital City Open
102 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
109 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
109+ kg,,,,,
Snatch,Ward Sorensen,East Coast Gold,60,1/13/2024,Rosedale Open 2024
Clean & Jerk,Ward Sorensen,East Coast Gold,65,1/13/2024,Rosedale Open 2024
Total,Ward Sorensen,East Coast Gold,125,1/13/2024,Rosedale Open 2024
