55 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
61 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
67 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
73 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
81 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
89 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
96 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
102 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
109 kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
109+ kg,
Snatch,None Established
Clean & Jerk,None Established
Total,None Established
