Site,,,,,,
,45 kg,,,,,
,Snatch,None Established,,,,
,Clean & Jerk,None Established,,,,
,Total,None Established,,,,
,49 kg,,,,,
,Snatch,Theresa Reumont-Burgess,Unaffiliated,21,8/12/2023,2023 Black & Red Open
,Clean & Jerk,Theresa Reumont-Burgess,Unaffiliated,28,8/12/2023,2023 Black & Red Open
,Total,Theresa Reumont-Burgess,Unaffiliated,49,8/12/2023,2023 Black & Red Open
,55 kg,,,,,
,Snatch,Kathleen Friend,Woodbridge Barbell,37,3/16/2023,2023 National Masters Championships
,Clean & Jerk,Kathleen Friend,Woodbridge Barbell,49,3/16/2023,2023 National Masters Championships
,Total,Kathleen Friend,Woodbridge Barbell,86,3/16/2023,2023 National Masters Championships
,59 kg,,,,,
,Snatch,Jennifer Yeager,BAM Weightlifting Club,40,10/9/2022,Trident Classic
,Clean & Jerk,Susan Giuffre,Unaffiliated,52,1/30/2021,Rosedale Open 2021
,Total,Susan Giuffre,Unaffiliated,91,5/24/2021,2021 World Masters Championships
,64 kg,,,,,
,Snatch,Jennifer Yeager,BAM Weightlifting,42,6/11/2022,BASA BIG Saturday Open 2022
,Clean & Jerk,Jennifer Yeager,BAM Weightlifting,58,6/11/2022,BASA BIG Saturday Open 2022
,Total,Jennifer Yeager,BAM Weightlifting,100,6/11/2022,BASA BIG Saturday Open 2022
,71 kg,,,,,
,Snatch,Kimberley Martin,Newfound Weightlifting,62,10/22/2022,IWF World Masters Championships
,Clean & Jerk,Kimberley Martin,Newfound Weightlifting,76,10/25/2020,IWF World Masters Championships
,Total,Kimberley Martin,Newfound Weightlifting,138,10/22/2022,IWF World Masters Championships
,76 kg,,,,,
,Snatch,Kimberly Martin,Newfound Weightlifting,56,7/31/2021,2021 Old Dominion Classic
,Clean & Jerk,Kimberly Martin,Newfound Weightlifting,77,7/31/2021,2021 Old Dominion Classic
,Total,Kimberly Martin,Newfound Weightlifting,133,7/31/2021,2021 Old Dominion Classic
,81 kg,,,,,
,Snatch,Pattie Kraisser,Blackbird Barbell Club,54,1/14/2023,2023 Baltimore Open
,Clean & Jerk,Pattie Kraisser,Blackbird Barbell Club,65,1/14/2023,2023 Baltimore Open
,Total,Pattie Kraisser,Blackbird Barbell Club,119,1/14/2023,2023 Baltimore Open
,87 kg,,,,,
,Snatch,None Established,,,,
,Clean & Jerk,None Established,,,,
,Total,None Established,,,,
,87+ kg,,,,,
,Snatch,Jana Berhow,CHFP Weightlifting Club,45,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
,Clean & Jerk,Jana Berhow,CHFP Weightlifting Club,51,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
