45 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
49 kg,,,,,
Snatch,Beth Lamoreaux,DC Weightlifting Club,38,12/1/2022,IWF World Masters Championships
Clean & Jerk,Beth Lamoreaux,DC Weightlifting Club,49,12/1/2022,IWF World Masters Championships
Total,Beth Lamoreaux,DC Weightlifting Club,87,12/1/2022,IWF World Masters Championships
55 kg,,,,,
Snatch,Beth Lamoreaux,DC Weightlifting Club,35,6/11/2022,BASA BIG Saturday Open 2022
Clean & Jerk,Beth Lamoreaux,DC Weightlifting Club,45,6/11/2022,BASA BIG Saturday Open 2022
Total,Beth Lamoreaux,DC Weightlifting Club,80,6/11/2022,BASA BIG Saturday Open 2022
59 kg,,,,,
Snatch,Sharon Handel,Las Vegas Barbell,34,3/15/2023,2023 National Masters Championships
Clean & Jerk,Sharon Handel,Las Vegas Barbell,40,3/15/2023,2023 National Masters Championships
Total,Sharon Handel,Las Vegas Barbell,74,3/15/2023,2023 National Masters Championships
64 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
71 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
76 kg,,,,,
Snatch,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",41,5/24/2021,2021 World Masters Championships
Clean & Jerk,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",64,5/24/2021,2021 World Masters Championships
Total,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",105,5/24/2021,2021 World Masters Championships
81 kg,,,,,
Snatch,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",41,6/30/2020,Lift Proud Virtual Cup
Clean & Jerk,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",63,6/30/2020,Lift Proud Virtual Cup
Total,Ljuca Belsito,"Iron Strength, Training, Education & Performance LLC",104,6/30/2020,Lift Proud Virtual Cup
87 kg,,,,,
Snatch,Doncella Young,CHFP Weightlifting Club,37,10/30/2023,2023 October online qualifier
Clean & Jerk,Doncella Young,CHFP Weightlifting Club,45,10/30/2023,2023 October online qualifier
Total,Doncella Young,CHFP Weightlifting Club,82,10/30/2023,2023 October online qualifier
87+ kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
