45 kg,,,,,,
Snatch,Melissa Sue Jutras Kamphake,East Coast Gold WL,58,10/9/2020,2020 Masters National Championships,
Clean & Jerk,Melissa Sue Jutras Kamphake,East Coast Gold WL,72,10/9/2020,2020 Masters National Championships,
Total,Melissa Sue Jutras Kamphake,East Coast Gold WL,130,10/9/2020,2020 Masters National Championships,
49 kg,,,,,,
Snatch,Olivia Duran,East Coast Gold WL,67,7/2/2021,2021 USAW National Championships,"Detroit, MI"
Clean & Jerk,Olivia Duran,East Coast Gold WL,90,7/2/2021,2021 USAW National Championships,"Detroit, MI"
Total,Olivia Duran,East Coast Gold WL,157,7/2/2021,2021 USAW Naitonal Championships,"Detroit, MI"
55 kg,,,,,,
Snatch,Maria Hayden,Renaissance Periodization,81,12/5/2020,2020 Online American Open Finals,
Clean & Jerk,Maria Hayden,Renaissance Periodization,102,12/5/2020,2020 Online American Open Finals,
Total,Maria Hayden,Renaissance Periodization,183,12/5/2020,2020 Online American Open Finals,
59 kg,,,,,,
Snatch,Laura Caggiano,Unattached,80,12/3/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Laura Caggiano,Unattached,100,12/3/2021,Nike 2021 North American Open Finals,
Total,Laura Caggiano,Unattached,180,12/3/2021,Nike 2021 North American Open Finals,
64 kg,,,,,,
Snatch,Jaclyn Alberts,RVA Weightlifting,88,7/3/2021,2021 USAW National Championships,"Detroit, MI"
Clean & Jerk,Jaclyn Alberts,RVA Weightlifting,117,7/3/2021,2021 USAW National Championships,"Detroit, MI"
Total,Jaclyn Alberts,RVA Weightlifting,205,7/3/2021,2021 USAW National Championships,"Detroit, MI"
71 kg,,,,,,
Snatch,Natalie Andrews,CHFP Weightlifting Club,91,12/4/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Jaclyn Alberts,RVA Weightlifting,115,4/25/2021,RVAWL In-House Meet,"Richmond, VA"
Total,Jaclyn Alberts,RVA Weightlifting,203,4/25/2021,RVAWL In-House Meet,"Richmond, VA"
76 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,100,12/5/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Kateri Peters,BASA Weightlifting,128,12/5/2021,Nike 2021 North American Open Finals,
Total,Kateri Peters,BASA Weightlifting,228,12/5/2021,Nike 2021 North American Open Finals,
81 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,98,7/2/2023,2023 Nike USA Weightlifting National Championships,
Clean & Jerk,Kateri Peters,BASA Weightlifting,124,7/2/2023,2023 Nike USA Weightlifting National Championships,
Total,Kateri Peters,BASA Weightlifting,222,7/2/2023,2023 Nike USA Weightlifting National Championships,
87 kg,,,,,,
Snatch,Kateri Peters,BASA Weightlifting,102,7/3/2022,Nike 2022 USA Weightlifting National Championships,
Clean & Jerk,Kateri Peters,BASA Weightlifting,128,7/3/2022,Nike 2022 USA Weightlifting National Championships,
Total,Kateri Peters,BASA Weightlifting,230,7/3/2022,Nike 2022 USA Weightlifting National Championships,
87+ kg,,,,,,
Snatch,Avery Owens,CHFP Weightlifting Club,95,9/19/2021,Nike 2021 North American Open Series 2,
Clean & Jerk,Avery Owens,CHFP Weightlifting Club,122,9/19/2021,Nike 2021 North American Open Series 2,
Total,Avery Owens,CHFP Weightlifting Club,217,9/19/2021,Nike 2021 North American Open Series 2,
